Højbjerg,Pierre,Tottenham
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,50
NON_PEN_XG,0.03,25
TOTAL_SHOTS,0.41,15
ASSISTS,0.10,65
XA,0.05,30
NON_PEN_XG+XA,0.08,22
SHOT_CREATIONS,1.38,28
PASSES_ATTEMPTED,71.48,89
PASS_COMPLETION_PERCENTAGE,88.6,85
PROGRESSIVE_PASSES,5.37,80
PROGRESSIVE CARRIES,3.92,47
DRIBBLES_COMPLETED,0.77,48
TOUCHES_IN_AREA,0.65,26
PROGRESSIVE_PASSES_RECIEVED,0.89,17
PRESSURES,20.74,77
TACKLES,3.07,87
INTERCEPTIONS,1.35,53
BLOCKS,1.52,46
CLEARANCES,2.10,83
AERIAL_DUELS_WON,1.43,65
