Sánchez,Davinson,Tottenham
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.05,62
TOTAL_SHOTS,0.38,34
ASSISTS,0.00,31
XA,0.00,7
NON_PEN_XG+XA,0.05,39
SHOT_CREATIONS,0.38,27
PASSES_ATTEMPTED,59.89,68
PASS_COMPLETION_PERCENTAGE,86.5,50
PROGRESSIVE_PASSES,1.72,14
PROGRESSIVE CARRIES,2.35,41
DRIBBLES_COMPLETED,0.00,2
TOUCHES_IN_AREA,0.46,17
PROGRESSIVE_PASSES_RECIEVED,0.13,29
PRESSURES,9.65,60
TACKLES,2.43,91
INTERCEPTIONS,1.01,22
BLOCKS,1.47,29
CLEARANCES,6.88,90
AERIAL_DUELS_WON,2.98,69
