Moura,Lucas,Tottenham
AM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.31,76
NON_PEN_XG,0.22,57
TOTAL_SHOTS,1.57,26
ASSISTS,0.22,66
XA,0.18,52
NON_PEN_XG+XA,0.39,54
SHOT_CREATIONS,2.56,24
PASSES_ATTEMPTED,39.34,59
PASS_COMPLETION_PERCENTAGE,73.7,36
PROGRESSIVE_PASSES,3.10,51
PROGRESSIVE CARRIES,6.25,57
DRIBBLES_COMPLETED,2.38,78
TOUCHES_IN_AREA,3.55,44
PROGRESSIVE_PASSES_RECIEVED,6.43,47
PRESSURES,16.72,62
TACKLES,2.25,95
INTERCEPTIONS,1.12,86
BLOCKS,1.03,32
CLEARANCES,0.63,61
AERIAL_DUELS_WON,1.62,88
