Alli,Dele,Tottenham
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,11
NON_PEN_XG,0.18,37
TOTAL_SHOTS,1.76,36
ASSISTS,0.34,92
XA,0.27,86
NON_PEN_XG+XA,0.45,71
SHOT_CREATIONS,3.70,70
PASSES_ATTEMPTED,51.85,90
PASS_COMPLETION_PERCENTAGE,79.9,77
PROGRESSIVE_PASSES,3.70,70
PROGRESSIVE CARRIES,4.96,30
DRIBBLES_COMPLETED,1.26,27
TOUCHES_IN_AREA,4.20,59
PROGRESSIVE_PASSES_RECIEVED,8.49,86
PRESSURES,26.81,99
TACKLES,2.52,97
INTERCEPTIONS,1.18,88
BLOCKS,1.85,92
CLEARANCES,0.50,49
AERIAL_DUELS_WON,1.26,84
