Aurier,Serge,Tottenham
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,84
NON_PEN_XG,0.07,80
TOTAL_SHOTS,0.78,72
ASSISTS,0.15,76
XA,0.09,59
NON_PEN_XG+XA,0.16,67
SHOT_CREATIONS,1.65,49
PASSES_ATTEMPTED,56.88,64
PASS_COMPLETION_PERCENTAGE,80.2,67
PROGRESSIVE_PASSES,3.83,53
PROGRESSIVE CARRIES,3.06,14
DRIBBLES_COMPLETED,1.12,72
TOUCHES_IN_AREA,1.41,47
PROGRESSIVE_PASSES_RECIEVED,2.57,60
PRESSURES,20.85,99
TACKLES,4.07,99
INTERCEPTIONS,1.36,62
BLOCKS,2.38,80
CLEARANCES,3.15,78
AERIAL_DUELS_WON,2.57,97
