Sissoko,Moussa,Tottenham
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.02,10
TOTAL_SHOTS,0.13,1
ASSISTS,0.00,12
XA,0.03,18
NON_PEN_XG+XA,0.04,8
SHOT_CREATIONS,1.00,10
PASSES_ATTEMPTED,49.27,42
PASS_COMPLETION_PERCENTAGE,86.2,66
PROGRESSIVE_PASSES,2.82,20
PROGRESSIVE CARRIES,3.73,44
DRIBBLES_COMPLETED,1.04,67
TOUCHES_IN_AREA,0.48,15
PROGRESSIVE_PASSES_RECIEVED,1.52,43
PRESSURES,13.49,11
TACKLES,1.52,13
INTERCEPTIONS,1.13,37
BLOCKS,1.47,39
CLEARANCES,1.87,75
AERIAL_DUELS_WON,1.04,45
