Robinson,Jack,Sheffield Utd
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,48
TOTAL_SHOTS,0.51,58
ASSISTS,0.10,97
XA,0.09,99
NON_PEN_XG+XA,0.12,97
SHOT_CREATIONS,0.62,66
PASSES_ATTEMPTED,45.05,23
PASS_COMPLETION_PERCENTAGE,80.6,12
PROGRESSIVE_PASSES,2.05,28
PROGRESSIVE CARRIES,2.05,34
DRIBBLES_COMPLETED,0.31,69
TOUCHES_IN_AREA,0.72,44
PROGRESSIVE_PASSES_RECIEVED,0.72,94
PRESSURES,8.11,41
TACKLES,1.64,64
INTERCEPTIONS,1.74,80
BLOCKS,1.23,9
CLEARANCES,6.16,81
AERIAL_DUELS_WON,2.87,67
