Bryan,Kean,Sheffield Utd
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,83
NON_PEN_XG,0.04,42
TOTAL_SHOTS,0.18,6
ASSISTS,0.00,31
XA,0.04,92
NON_PEN_XG+XA,0.07,70
SHOT_CREATIONS,0.45,37
PASSES_ATTEMPTED,39.71,14
PASS_COMPLETION_PERCENTAGE,72.9,1
PROGRESSIVE_PASSES,1.97,23
PROGRESSIVE CARRIES,0.99,9
DRIBBLES_COMPLETED,0.27,62
TOUCHES_IN_AREA,0.63,35
PROGRESSIVE_PASSES_RECIEVED,0.72,94
PRESSURES,13.45,95
TACKLES,2.15,83
INTERCEPTIONS,2.51,97
BLOCKS,2.33,95
CLEARANCES,6.27,83
AERIAL_DUELS_WON,2.78,61
