Fleck,John,Sheffield Utd
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.03,26
TOTAL_SHOTS,0.59,28
ASSISTS,0.07,53
XA,0.09,70
NON_PEN_XG+XA,0.12,47
SHOT_CREATIONS,2.31,72
PASSES_ATTEMPTED,42.40,24
PASS_COMPLETION_PERCENTAGE,78.0,15
PROGRESSIVE_PASSES,3.60,40
PROGRESSIVE CARRIES,4.51,61
DRIBBLES_COMPLETED,1.26,78
TOUCHES_IN_AREA,1.08,54
PROGRESSIVE_PASSES_RECIEVED,1.99,60
PRESSURES,17.69,47
TACKLES,1.61,17
INTERCEPTIONS,1.36,55
BLOCKS,1.29,24
CLEARANCES,0.63,8
AERIAL_DUELS_WON,0.31,4
