Lowe,Max,Sheffield Utd
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.02,22
TOTAL_SHOTS,0.33,21
ASSISTS,0.00,7
XA,0.03,9
NON_PEN_XG+XA,0.05,8
SHOT_CREATIONS,1.15,21
PASSES_ATTEMPTED,36.49,3
PASS_COMPLETION_PERCENTAGE,65.0,3
PROGRESSIVE_PASSES,2.62,14
PROGRESSIVE CARRIES,3.27,18
DRIBBLES_COMPLETED,1.15,73
TOUCHES_IN_AREA,1.80,66
PROGRESSIVE_PASSES_RECIEVED,1.80,35
PRESSURES,21.27,99
TACKLES,3.76,98
INTERCEPTIONS,0.49,1
BLOCKS,3.44,99
CLEARANCES,1.96,26
AERIAL_DUELS_WON,0.82,25
