Longstaff,Sean,Newcastle Utd
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.09,72
TOTAL_SHOTS,0.96,56
ASSISTS,0.06,51
XA,0.07,56
NON_PEN_XG+XA,0.16,65
SHOT_CREATIONS,1.34,27
PASSES_ATTEMPTED,36.46,12
PASS_COMPLETION_PERCENTAGE,79.0,20
PROGRESSIVE_PASSES,2.55,13
PROGRESSIVE CARRIES,1.47,3
DRIBBLES_COMPLETED,0.26,3
TOUCHES_IN_AREA,1.34,65
PROGRESSIVE_PASSES_RECIEVED,1.34,34
PRESSURES,25.37,97
TACKLES,2.29,55
INTERCEPTIONS,1.21,42
BLOCKS,1.85,72
CLEARANCES,1.34,49
AERIAL_DUELS_WON,0.76,29
