Dúbravka,Martin,Newcastle Utd
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.11,83
GOALS_CONCEDED,1.46,43
SAVE_PERCENTAGE,69.5,55
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.31,67
PENALTY_SAVE_PERCENTAGE,0.0,18
CLEAN_SHEET_PERCENTAGE,23.1,40
TOUCHES,36.23,55
LAUNCH_PERCENTAGE,38.2,38
GOAL_KICKS,9.31,97
AVG_GOAL_KICK_DISTANCE,47.3,60
CROSSES_STOPPED_PERCENTAGE,8.1,67
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.46,26
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,12.2,3
