Joelinton,,Newcastle Utd
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,5
NON_PEN_XG,0.24,13
TOTAL_SHOTS,2.04,29
ASSISTS,0.09,37
XA,0.10,36
NON_PEN_XG+XA,0.34,13
SHOT_CREATIONS,2.36,56
PASSES_ATTEMPTED,26.78,66
PASS_COMPLETION_PERCENTAGE,73.9,57
PROGRESSIVE_PASSES,1.18,35
PROGRESSIVE CARRIES,3.68,73
DRIBBLES_COMPLETED,1.77,84
TOUCHES_IN_AREA,3.86,12
PROGRESSIVE_PASSES_RECIEVED,4.99,3
PRESSURES,17.88,84
TACKLES,2.00,99
INTERCEPTIONS,0.91,99
BLOCKS,1.68,97
CLEARANCES,0.95,80
AERIAL_DUELS_WON,4.45,87
