Clark,Ciaran,Newcastle Utd
CB,LCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,58
NON_PEN_XG,0.01,10
TOTAL_SHOTS,0.38,35
ASSISTS,0.00,31
XA,0.00,21
NON_PEN_XG+XA,0.02,4
SHOT_CREATIONS,0.29,12
PASSES_ATTEMPTED,35.55,8
PASS_COMPLETION_PERCENTAGE,83.0,22
PROGRESSIVE_PASSES,1.67,13
PROGRESSIVE CARRIES,1.19,12
DRIBBLES_COMPLETED,0.29,65
TOUCHES_IN_AREA,0.86,60
PROGRESSIVE_PASSES_RECIEVED,0.24,59
PRESSURES,7.42,28
TACKLES,1.29,34
INTERCEPTIONS,1.24,41
BLOCKS,2.14,86
CLEARANCES,6.38,85
AERIAL_DUELS_WON,3.76,90
