Manquillo,Javier,Newcastle Utd
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.11,3
ASSISTS,0.00,7
XA,0.02,5
NON_PEN_XG+XA,0.03,4
SHOT_CREATIONS,0.87,7
PASSES_ATTEMPTED,43.64,14
PASS_COMPLETION_PERCENTAGE,74.0,24
PROGRESSIVE_PASSES,2.29,6
PROGRESSIVE CARRIES,2.84,10
DRIBBLES_COMPLETED,0.44,15
TOUCHES_IN_AREA,0.76,21
PROGRESSIVE_PASSES_RECIEVED,1.64,31
PRESSURES,13.42,60
TACKLES,2.95,88
INTERCEPTIONS,0.87,16
BLOCKS,1.85,42
CLEARANCES,2.29,42
AERIAL_DUELS_WON,1.85,85
