Hayden,Isaac,Newcastle Utd
CB,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.02,15
TOTAL_SHOTS,0.60,29
ASSISTS,0.00,12
XA,0.02,7
NON_PEN_XG+XA,0.04,6
SHOT_CREATIONS,0.79,4
PASSES_ATTEMPTED,36.61,13
PASS_COMPLETION_PERCENTAGE,79.6,21
PROGRESSIVE_PASSES,1.90,3
PROGRESSIVE CARRIES,1.16,2
DRIBBLES_COMPLETED,0.46,19
TOUCHES_IN_AREA,0.60,23
PROGRESSIVE_PASSES_RECIEVED,1.20,29
PRESSURES,18.86,57
TACKLES,2.32,56
INTERCEPTIONS,2.13,94
BLOCKS,1.95,78
CLEARANCES,2.64,93
AERIAL_DUELS_WON,2.55,93
