Almirón,Miguel,Newcastle Utd
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,26
NON_PEN_XG,0.12,14
TOTAL_SHOTS,1.22,13
ASSISTS,0.04,6
XA,0.10,15
NON_PEN_XG+XA,0.22,9
SHOT_CREATIONS,2.33,15
PASSES_ATTEMPTED,32.49,25
PASS_COMPLETION_PERCENTAGE,81.1,85
PROGRESSIVE_PASSES,2.41,26
PROGRESSIVE CARRIES,4.67,25
DRIBBLES_COMPLETED,1.33,31
TOUCHES_IN_AREA,1.89,6
PROGRESSIVE_PASSES_RECIEVED,3.89,7
PRESSURES,18.75,79
TACKLES,1.78,82
INTERCEPTIONS,1.00,76
BLOCKS,1.33,64
CLEARANCES,0.89,83
AERIAL_DUELS_WON,0.30,13
