Schär,Fabian,Newcastle Utd
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,29
TOTAL_SHOTS,0.72,85
ASSISTS,0.00,31
XA,0.00,7
NON_PEN_XG+XA,0.03,16
SHOT_CREATIONS,0.65,71
PASSES_ATTEMPTED,42.11,16
PASS_COMPLETION_PERCENTAGE,77.7,5
PROGRESSIVE_PASSES,2.82,56
PROGRESSIVE CARRIES,2.46,45
DRIBBLES_COMPLETED,0.51,88
TOUCHES_IN_AREA,0.79,54
PROGRESSIVE_PASSES_RECIEVED,0.07,16
PRESSURES,7.95,37
TACKLES,1.37,42
INTERCEPTIONS,1.59,69
BLOCKS,1.73,59
CLEARANCES,4.55,34
AERIAL_DUELS_WON,1.44,7
