Fernández,Federico,Newcastle Utd
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,8
TOTAL_SHOTS,0.22,9
ASSISTS,0.00,31
XA,0.01,52
NON_PEN_XG+XA,0.03,12
SHOT_CREATIONS,0.48,45
PASSES_ATTEMPTED,36.23,9
PASS_COMPLETION_PERCENTAGE,80.2,10
PROGRESSIVE_PASSES,0.82,1
PROGRESSIVE CARRIES,0.43,1
DRIBBLES_COMPLETED,0.00,2
TOUCHES_IN_AREA,0.56,26
PROGRESSIVE_PASSES_RECIEVED,0.26,63
PRESSURES,7.92,37
TACKLES,1.52,54
INTERCEPTIONS,0.74,5
BLOCKS,2.21,91
CLEARANCES,7.19,93
AERIAL_DUELS_WON,1.99,24
