Gayle,Dwight,Newcastle Utd
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,7
NON_PEN_XG,0.35,48
TOTAL_SHOTS,2.80,72
ASSISTS,0.18,63
XA,0.09,34
NON_PEN_XG+XA,0.46,44
SHOT_CREATIONS,2.28,52
PASSES_ATTEMPTED,19.96,26
PASS_COMPLETION_PERCENTAGE,79.8,88
PROGRESSIVE_PASSES,0.53,3
PROGRESSIVE CARRIES,1.05,3
DRIBBLES_COMPLETED,0.18,1
TOUCHES_IN_AREA,4.55,31
PROGRESSIVE_PASSES_RECIEVED,5.08,4
PRESSURES,15.76,69
TACKLES,1.05,83
INTERCEPTIONS,0.18,15
BLOCKS,0.53,22
CLEARANCES,0.00,1
AERIAL_DUELS_WON,1.23,34
