Andersen,Joachim,Fulham
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,40
NON_PEN_XG,0.04,52
TOTAL_SHOTS,0.55,64
ASSISTS,0.03,70
XA,0.02,57
NON_PEN_XG+XA,0.06,50
SHOT_CREATIONS,0.82,86
PASSES_ATTEMPTED,59.70,66
PASS_COMPLETION_PERCENTAGE,83.9,27
PROGRESSIVE_PASSES,3.29,69
PROGRESSIVE CARRIES,2.38,42
DRIBBLES_COMPLETED,0.21,48
TOUCHES_IN_AREA,0.73,45
PROGRESSIVE_PASSES_RECIEVED,0.15,38
PRESSURES,6.74,18
TACKLES,1.28,33
INTERCEPTIONS,1.55,67
BLOCKS,1.16,6
CLEARANCES,7.47,95
AERIAL_DUELS_WON,3.81,91
