"b'Mitrovic, Aleksandar'",Fulham
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,4
NON_PEN_XG,0.32,38
TOTAL_SHOTS,3.59,93
ASSISTS,0.19,68
XA,0.17,72
NON_PEN_XG+XA,0.49,53
SHOT_CREATIONS,3.02,78
PASSES_ATTEMPTED,24.65,55
PASS_COMPLETION_PERCENTAGE,76.0,72
PROGRESSIVE_PASSES,1.28,42
PROGRESSIVE CARRIES,1.67,21
DRIBBLES_COMPLETED,0.90,39
TOUCHES_IN_AREA,7.51,95
PROGRESSIVE_PASSES_RECIEVED,7.90,52
PRESSURES,12.52,35
TACKLES,0.71,56
INTERCEPTIONS,0.19,19
BLOCKS,1.16,88
CLEARANCES,0.45,28
AERIAL_DUELS_WON,4.37,85
