Areola,Alphonse,Fulham
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.21,99
GOALS_CONCEDED,1.33,58
SAVE_PERCENTAGE,73.1,82
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.32,79
PENALTY_SAVE_PERCENTAGE,0.0,18
CLEAN_SHEET_PERCENTAGE,25.0,48
TOUCHES,30.83,13
LAUNCH_PERCENTAGE,38.2,38
GOAL_KICKS,6.92,38
AVG_GOAL_KICK_DISTANCE,43.1,40
CROSSES_STOPPED_PERCENTAGE,9.8,93
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.56,39
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,13.9,36
