Cairney,Tom,Fulham
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,79
NON_PEN_XG,0.08,68
TOTAL_SHOTS,1.42,82
ASSISTS,0.12,74
XA,0.17,92
NON_PEN_XG+XA,0.25,86
SHOT_CREATIONS,4.15,97
PASSES_ATTEMPTED,73.64,91
PASS_COMPLETION_PERCENTAGE,88.7,86
PROGRESSIVE_PASSES,3.79,46
PROGRESSIVE CARRIES,6.88,90
DRIBBLES_COMPLETED,1.42,84
TOUCHES_IN_AREA,1.54,71
PROGRESSIVE_PASSES_RECIEVED,3.68,86
PRESSURES,7.71,1
TACKLES,0.59,1
INTERCEPTIONS,0.12,1
BLOCKS,0.71,1
CLEARANCES,0.36,1
AERIAL_DUELS_WON,0.24,2
