Ramsdale,Aaron,Sheffield Utd
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.05,70
GOALS_CONCEDED,1.66,17
SAVE_PERCENTAGE,70.7,64
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.29,42
PENALTY_SAVE_PERCENTAGE,0.0,18
CLEAN_SHEET_PERCENTAGE,13.2,6
TOUCHES,33.45,32
LAUNCH_PERCENTAGE,70.0,95
GOAL_KICKS,7.39,52
AVG_GOAL_KICK_DISTANCE,69.7,98
CROSSES_STOPPED_PERCENTAGE,9.5,86
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.58,47
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.3,74
