McGoldrick,David,Sheffield Utd
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.30,34
NON_PEN_XG,0.26,18
TOTAL_SHOTS,2.70,68
ASSISTS,0.04,11
XA,0.05,8
NON_PEN_XG+XA,0.31,9
SHOT_CREATIONS,1.95,37
PASSES_ATTEMPTED,35.29,90
PASS_COMPLETION_PERCENTAGE,74.4,61
PROGRESSIVE_PASSES,2.55,85
PROGRESSIVE CARRIES,3.49,70
DRIBBLES_COMPLETED,1.73,83
TOUCHES_IN_AREA,3.79,11
PROGRESSIVE_PASSES_RECIEVED,6.91,36
PRESSURES,16.30,74
TACKLES,1.13,89
INTERCEPTIONS,0.45,75
BLOCKS,1.35,95
CLEARANCES,1.09,88
AERIAL_DUELS_WON,3.53,79
