Bogle,Jayden,Sheffield Utd
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,94
NON_PEN_XG,0.15,97
TOTAL_SHOTS,1.38,95
ASSISTS,0.00,7
XA,0.02,3
NON_PEN_XG+XA,0.16,69
SHOT_CREATIONS,0.89,7
PASSES_ATTEMPTED,31.05,1
PASS_COMPLETION_PERCENTAGE,78.3,51
PROGRESSIVE_PASSES,1.86,2
PROGRESSIVE CARRIES,2.19,4
DRIBBLES_COMPLETED,1.38,84
TOUCHES_IN_AREA,3.00,92
PROGRESSIVE_PASSES_RECIEVED,2.68,64
PRESSURES,18.97,98
TACKLES,2.92,88
INTERCEPTIONS,1.62,81
BLOCKS,2.11,65
CLEARANCES,1.78,19
AERIAL_DUELS_WON,1.30,59
