Ampadu,Ethan,Sheffield Utd
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,8
TOTAL_SHOTS,0.30,23
ASSISTS,0.00,31
XA,0.04,93
NON_PEN_XG+XA,0.06,49
SHOT_CREATIONS,0.65,71
PASSES_ATTEMPTED,45.84,26
PASS_COMPLETION_PERCENTAGE,80.5,11
PROGRESSIVE_PASSES,3.62,76
PROGRESSIVE CARRIES,4.22,80
DRIBBLES_COMPLETED,0.39,79
TOUCHES_IN_AREA,0.39,11
PROGRESSIVE_PASSES_RECIEVED,0.39,83
PRESSURES,15.47,98
TACKLES,2.67,95
INTERCEPTIONS,1.68,75
BLOCKS,2.07,82
CLEARANCES,5.17,55
AERIAL_DUELS_WON,2.84,66
