Jagielka,Phil,Sheffield Utd
CB,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.00,1
ASSISTS,0.00,31
XA,0.00,7
NON_PEN_XG+XA,0.00,1
SHOT_CREATIONS,0.17,2
PASSES_ATTEMPTED,31.83,3
PASS_COMPLETION_PERCENTAGE,76.3,4
PROGRESSIVE_PASSES,0.86,1
PROGRESSIVE CARRIES,0.68,3
DRIBBLES_COMPLETED,0.00,2
TOUCHES_IN_AREA,0.17,2
PROGRESSIVE_PASSES_RECIEVED,0.17,45
PRESSURES,9.58,60
TACKLES,1.54,56
INTERCEPTIONS,2.05,91
BLOCKS,2.57,98
CLEARANCES,8.04,98
AERIAL_DUELS_WON,2.57,52
