Digne,Lucas,Everton
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.02,29
TOTAL_SHOTS,0.44,33
ASSISTS,0.24,94
XA,0.18,91
NON_PEN_XG+XA,0.20,82
SHOT_CREATIONS,2.35,82
PASSES_ATTEMPTED,56.73,63
PASS_COMPLETION_PERCENTAGE,72.5,19
PROGRESSIVE_PASSES,3.63,47
PROGRESSIVE CARRIES,3.36,19
DRIBBLES_COMPLETED,0.47,19
TOUCHES_IN_AREA,1.31,45
PROGRESSIVE_PASSES_RECIEVED,3.79,90
PRESSURES,13.83,67
TACKLES,2.62,81
INTERCEPTIONS,0.87,16
BLOCKS,1.98,54
CLEARANCES,3.22,80
AERIAL_DUELS_WON,3.16,98
