Mina,Yerry,Everton
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,85
NON_PEN_XG,0.06,77
TOTAL_SHOTS,0.79,90
ASSISTS,0.00,31
XA,0.00,7
NON_PEN_XG+XA,0.06,53
SHOT_CREATIONS,0.19,2
PASSES_ATTEMPTED,57.01,57
PASS_COMPLETION_PERCENTAGE,90.9,87
PROGRESSIVE_PASSES,2.09,29
PROGRESSIVE CARRIES,3.39,66
DRIBBLES_COMPLETED,0.00,2
TOUCHES_IN_AREA,1.16,87
PROGRESSIVE_PASSES_RECIEVED,0.14,33
PRESSURES,6.88,21
TACKLES,1.16,25
INTERCEPTIONS,0.60,2
BLOCKS,1.77,62
CLEARANCES,6.04,78
AERIAL_DUELS_WON,3.16,77
