Doucouré,Abdoulaye,Everton
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,65
NON_PEN_XG,0.08,66
TOTAL_SHOTS,0.66,34
ASSISTS,0.11,72
XA,0.08,62
NON_PEN_XG+XA,0.16,65
SHOT_CREATIONS,1.51,37
PASSES_ATTEMPTED,49.11,41
PASS_COMPLETION_PERCENTAGE,86.0,65
PROGRESSIVE_PASSES,2.39,11
PROGRESSIVE CARRIES,2.98,27
DRIBBLES_COMPLETED,0.63,35
TOUCHES_IN_AREA,1.44,68
PROGRESSIVE_PASSES_RECIEVED,2.91,78
PRESSURES,20.04,69
TACKLES,2.06,43
INTERCEPTIONS,1.29,49
BLOCKS,1.58,51
CLEARANCES,1.07,31
AERIAL_DUELS_WON,1.36,62
