Pickford,Jordan,Everton
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.02,64
GOALS_CONCEDED,1.28,63
SAVE_PERCENTAGE,71.1,70
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.29,42
PENALTY_SAVE_PERCENTAGE,0.0,18
CLEAN_SHEET_PERCENTAGE,32.3,74
TOUCHES,41.26,83
LAUNCH_PERCENTAGE,53.3,82
GOAL_KICKS,6.79,36
AVG_GOAL_KICK_DISTANCE,56.5,85
CROSSES_STOPPED_PERCENTAGE,8.1,67
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.62,55
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.7,57
