Iwobi,Alex,Everton
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,5
NON_PEN_XG,0.06,3
TOTAL_SHOTS,0.88,4
ASSISTS,0.12,23
XA,0.11,15
NON_PEN_XG+XA,0.17,3
SHOT_CREATIONS,2.68,30
PASSES_ATTEMPTED,40.16,61
PASS_COMPLETION_PERCENTAGE,77.0,60
PROGRESSIVE_PASSES,4.26,81
PROGRESSIVE CARRIES,8.64,91
DRIBBLES_COMPLETED,2.68,86
TOUCHES_IN_AREA,2.68,19
PROGRESSIVE_PASSES_RECIEVED,3.74,3
PRESSURES,13.07,25
TACKLES,1.93,87
INTERCEPTIONS,1.05,82
BLOCKS,1.28,59
CLEARANCES,0.70,69
AERIAL_DUELS_WON,0.23,9
