Calvert-Lewin,Dominic,Everton
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.50,78
NON_PEN_XG,0.48,82
TOTAL_SHOTS,2.54,57
ASSISTS,0.00,4
XA,0.06,19
NON_PEN_XG+XA,0.55,69
SHOT_CREATIONS,1.57,21
PASSES_ATTEMPTED,20.97,31
PASS_COMPLETION_PERCENTAGE,71.6,45
PROGRESSIVE_PASSES,1.13,32
PROGRESSIVE CARRIES,1.97,31
DRIBBLES_COMPLETED,0.63,23
TOUCHES_IN_AREA,4.89,39
PROGRESSIVE_PASSES_RECIEVED,6.49,27
PRESSURES,10.88,19
TACKLES,0.53,35
INTERCEPTIONS,0.16,9
BLOCKS,0.97,76
CLEARANCES,0.97,81
AERIAL_DUELS_WON,4.48,87
