Brownhill,Josh,Burnley
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.06,52
TOTAL_SHOTS,1.15,67
ASSISTS,0.03,27
XA,0.04,20
NON_PEN_XG+XA,0.10,33
SHOT_CREATIONS,1.47,34
PASSES_ATTEMPTED,37.98,15
PASS_COMPLETION_PERCENTAGE,79.0,20
PROGRESSIVE_PASSES,2.11,6
PROGRESSIVE CARRIES,2.05,9
DRIBBLES_COMPLETED,0.45,17
TOUCHES_IN_AREA,2.08,87
PROGRESSIVE_PASSES_RECIEVED,2.72,74
PRESSURES,15.68,26
TACKLES,1.63,19
INTERCEPTIONS,1.70,78
BLOCKS,1.89,75
CLEARANCES,1.79,73
AERIAL_DUELS_WON,2.27,90
