Berg Guðmundsson,Jóhann,Burnley
AM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,20
NON_PEN_XG,0.11,13
TOTAL_SHOTS,1.25,14
ASSISTS,0.00,3
XA,0.03,1
NON_PEN_XG+XA,0.15,2
SHOT_CREATIONS,1.78,6
PASSES_ATTEMPTED,31.17,22
PASS_COMPLETION_PERCENTAGE,75.4,47
PROGRESSIVE_PASSES,2.25,22
PROGRESSIVE CARRIES,4.82,28
DRIBBLES_COMPLETED,0.40,1
TOUCHES_IN_AREA,2.05,8
PROGRESSIVE_PASSES_RECIEVED,3.76,4
PRESSURES,10.96,9
TACKLES,1.25,48
INTERCEPTIONS,1.12,86
BLOCKS,1.25,57
CLEARANCES,0.92,84
AERIAL_DUELS_WON,1.25,84
