Pope,Nick,Burnley
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.15,88
GOALS_CONCEDED,1.16,75
SAVE_PERCENTAGE,77.0,98
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.26,8
PENALTY_SAVE_PERCENTAGE,0.0,18
CLEAN_SHEET_PERCENTAGE,34.4,79
TOUCHES,33.88,35
LAUNCH_PERCENTAGE,74.3,97
GOAL_KICKS,7.84,67
AVG_GOAL_KICK_DISTANCE,62.3,96
CROSSES_STOPPED_PERCENTAGE,12.9,99
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.28,95
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,16.5,91
