Lowton,Matthew,Burnley
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,45
NON_PEN_XG,0.02,29
TOTAL_SHOTS,0.62,55
ASSISTS,0.03,17
XA,0.07,38
NON_PEN_XG+XA,0.09,26
SHOT_CREATIONS,1.44,38
PASSES_ATTEMPTED,44.06,15
PASS_COMPLETION_PERCENTAGE,68.8,6
PROGRESSIVE_PASSES,3.85,54
PROGRESSIVE CARRIES,3.18,17
DRIBBLES_COMPLETED,0.71,45
TOUCHES_IN_AREA,0.65,14
PROGRESSIVE_PASSES_RECIEVED,0.94,8
PRESSURES,8.53,7
TACKLES,1.97,50
INTERCEPTIONS,1.62,80
BLOCKS,1.94,50
CLEARANCES,3.41,84
AERIAL_DUELS_WON,1.12,45
