Westwood,Ashley,Burnley
CM,DM,RM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,68
NON_PEN_XG,0.03,24
TOTAL_SHOTS,0.50,20
ASSISTS,0.08,58
XA,0.13,84
NON_PEN_XG+XA,0.16,66
SHOT_CREATIONS,2.22,69
PASSES_ATTEMPTED,56.09,60
PASS_COMPLETION_PERCENTAGE,73.7,5
PROGRESSIVE_PASSES,5.33,79
PROGRESSIVE CARRIES,2.56,18
DRIBBLES_COMPLETED,0.32,6
TOUCHES_IN_AREA,0.69,27
PROGRESSIVE_PASSES_RECIEVED,0.92,18
PRESSURES,12.99,7
TACKLES,0.66,1
INTERCEPTIONS,1.27,48
BLOCKS,1.32,25
CLEARANCES,1.29,45
AERIAL_DUELS_WON,0.37,7
