Long,Kevin,Burnley
CB,RCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,51
TOTAL_SHOTS,0.28,20
ASSISTS,0.00,31
XA,0.00,7
NON_PEN_XG+XA,0.04,30
SHOT_CREATIONS,0.00,1
PASSES_ATTEMPTED,36.03,9
PASS_COMPLETION_PERCENTAGE,71.0,1
PROGRESSIVE_PASSES,2.12,30
PROGRESSIVE CARRIES,0.14,1
DRIBBLES_COMPLETED,0.00,2
TOUCHES_IN_AREA,0.99,72
PROGRESSIVE_PASSES_RECIEVED,0.14,35
PRESSURES,7.49,29
TACKLES,1.98,77
INTERCEPTIONS,0.57,1
BLOCKS,1.27,11
CLEARANCES,4.38,28
AERIAL_DUELS_WON,3.11,75
