Aït Nouri,Rayan,Wolves
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,66
NON_PEN_XG,0.04,55
TOTAL_SHOTS,0.96,85
ASSISTS,0.11,65
XA,0.08,47
NON_PEN_XG+XA,0.11,43
SHOT_CREATIONS,2.15,77
PASSES_ATTEMPTED,52.83,47
PASS_COMPLETION_PERCENTAGE,84.9,91
PROGRESSIVE_PASSES,3.28,34
PROGRESSIVE CARRIES,6.62,82
DRIBBLES_COMPLETED,2.55,98
TOUCHES_IN_AREA,1.92,71
PROGRESSIVE_PASSES_RECIEVED,2.15,48
PRESSURES,15.50,84
TACKLES,1.92,46
INTERCEPTIONS,0.91,18
BLOCKS,1.75,33
CLEARANCES,2.21,40
AERIAL_DUELS_WON,0.91,30
