Traoré,Bertrand,Aston Villa
AM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.27,68
NON_PEN_XG,0.25,68
TOTAL_SHOTS,2.52,75
ASSISTS,0.23,69
XA,0.12,23
NON_PEN_XG+XA,0.37,47
SHOT_CREATIONS,3.03,44
PASSES_ATTEMPTED,30.92,21
PASS_COMPLETION_PERCENTAGE,71.1,28
PROGRESSIVE_PASSES,2.41,25
PROGRESSIVE CARRIES,3.77,9
DRIBBLES_COMPLETED,1.98,65
TOUCHES_IN_AREA,4.12,58
PROGRESSIVE_PASSES_RECIEVED,3.88,6
PRESSURES,15.11,46
TACKLES,1.01,29
INTERCEPTIONS,0.89,69
BLOCKS,1.01,27
CLEARANCES,0.62,59
AERIAL_DUELS_WON,1.20,81
