Targett,Matt,Aston Villa
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.01,5
TOTAL_SHOTS,0.16,5
ASSISTS,0.05,33
XA,0.08,50
NON_PEN_XG+XA,0.09,28
SHOT_CREATIONS,2.12,74
PASSES_ATTEMPTED,56.77,64
PASS_COMPLETION_PERCENTAGE,77.0,42
PROGRESSIVE_PASSES,5.87,93
PROGRESSIVE CARRIES,2.83,10
DRIBBLES_COMPLETED,0.42,14
TOUCHES_IN_AREA,1.19,39
PROGRESSIVE_PASSES_RECIEVED,2.06,43
PRESSURES,11.24,31
TACKLES,2.56,80
INTERCEPTIONS,1.24,50
BLOCKS,2.14,66
CLEARANCES,3.33,83
AERIAL_DUELS_WON,2.22,93
