Ramsey,Jacob,Aston Villa
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.07,63
TOTAL_SHOTS,1.58,89
ASSISTS,0.00,12
XA,0.04,27
NON_PEN_XG+XA,0.12,42
SHOT_CREATIONS,2.01,60
PASSES_ATTEMPTED,31.63,4
PASS_COMPLETION_PERCENTAGE,85.5,62
PROGRESSIVE_PASSES,2.16,7
PROGRESSIVE CARRIES,2.88,23
DRIBBLES_COMPLETED,1.29,79
TOUCHES_IN_AREA,3.02,94
PROGRESSIVE_PASSES_RECIEVED,4.03,88
PRESSURES,28.61,99
TACKLES,1.58,14
INTERCEPTIONS,0.86,18
BLOCKS,2.44,96
CLEARANCES,1.29,45
AERIAL_DUELS_WON,0.72,27
