Grealish,Jack,Aston Villa
AM,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,63
NON_PEN_XG,0.18,38
TOTAL_SHOTS,2.02,51
ASSISTS,0.41,96
XA,0.35,97
NON_PEN_XG+XA,0.53,83
SHOT_CREATIONS,6.18,99
PASSES_ATTEMPTED,45.31,76
PASS_COMPLETION_PERCENTAGE,78.5,70
PROGRESSIVE_PASSES,6.92,99
PROGRESSIVE CARRIES,12.60,99
DRIBBLES_COMPLETED,2.51,82
TOUCHES_IN_AREA,7.29,95
PROGRESSIVE_PASSES_RECIEVED,7.50,71
PRESSURES,13.02,25
TACKLES,1.11,35
INTERCEPTIONS,0.54,23
BLOCKS,1.07,35
CLEARANCES,0.25,17
AERIAL_DUELS_WON,0.99,71
