Watkins,Ollie,Aston Villa
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.35,51
NON_PEN_XG,0.39,65
TOTAL_SHOTS,2.65,64
ASSISTS,0.14,54
XA,0.11,47
NON_PEN_XG+XA,0.51,61
SHOT_CREATIONS,2.65,66
PASSES_ATTEMPTED,22.50,46
PASS_COMPLETION_PERCENTAGE,72.8,50
PROGRESSIVE_PASSES,1.22,38
PROGRESSIVE CARRIES,3.60,72
DRIBBLES_COMPLETED,1.30,68
TOUCHES_IN_AREA,6.57,82
PROGRESSIVE_PASSES_RECIEVED,9.25,78
PRESSURES,16.93,79
TACKLES,0.95,76
INTERCEPTIONS,0.32,53
BLOCKS,0.51,21
CLEARANCES,0.68,50
AERIAL_DUELS_WON,3.76,81
