Sanson,Morgan,Aston Villa
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,79
NON_PEN_XG,0.08,69
TOTAL_SHOTS,1.09,63
ASSISTS,0.18,87
XA,0.14,85
NON_PEN_XG+XA,0.23,84
SHOT_CREATIONS,1.57,40
PASSES_ATTEMPTED,38.42,16
PASS_COMPLETION_PERCENTAGE,75.9,8
PROGRESSIVE_PASSES,2.48,12
PROGRESSIVE CARRIES,5.44,79
DRIBBLES_COMPLETED,0.85,55
TOUCHES_IN_AREA,1.51,70
PROGRESSIVE_PASSES_RECIEVED,4.11,89
PRESSURES,28.81,99
TACKLES,2.78,77
INTERCEPTIONS,1.27,48
BLOCKS,1.63,55
CLEARANCES,0.54,7
AERIAL_DUELS_WON,0.91,37
