Mings,Tyrone,Aston Villa
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,68
NON_PEN_XG,0.05,66
TOTAL_SHOTS,0.54,63
ASSISTS,0.06,89
XA,0.02,61
NON_PEN_XG+XA,0.07,69
SHOT_CREATIONS,0.39,29
PASSES_ATTEMPTED,44.66,22
PASS_COMPLETION_PERCENTAGE,79.6,8
PROGRESSIVE_PASSES,3.04,61
PROGRESSIVE CARRIES,1.52,22
DRIBBLES_COMPLETED,0.23,53
TOUCHES_IN_AREA,1.04,79
PROGRESSIVE_PASSES_RECIEVED,0.31,75
PRESSURES,7.10,24
TACKLES,0.93,10
INTERCEPTIONS,1.07,27
BLOCKS,2.37,96
CLEARANCES,6.48,86
AERIAL_DUELS_WON,3.07,71
