Werner,Timo,Chelsea
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,42
NON_PEN_XG,0.42,95
TOTAL_SHOTS,2.69,80
ASSISTS,0.29,85
XA,0.19,61
NON_PEN_XG+XA,0.61,92
SHOT_CREATIONS,2.64,29
PASSES_ATTEMPTED,28.14,13
PASS_COMPLETION_PERCENTAGE,76.9,59
PROGRESSIVE_PASSES,2.00,15
PROGRESSIVE CARRIES,5.12,34
DRIBBLES_COMPLETED,0.98,15
TOUCHES_IN_AREA,6.88,91
PROGRESSIVE_PASSES_RECIEVED,8.99,91
PRESSURES,13.48,29
TACKLES,0.87,19
INTERCEPTIONS,0.29,2
BLOCKS,0.82,13
CLEARANCES,0.16,6
AERIAL_DUELS_WON,0.40,23
