Mount,Mason,Chelsea
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,35
NON_PEN_XG,0.19,45
TOTAL_SHOTS,2.29,66
ASSISTS,0.17,45
XA,0.25,81
NON_PEN_XG+XA,0.43,67
SHOT_CREATIONS,4.58,89
PASSES_ATTEMPTED,54.43,92
PASS_COMPLETION_PERCENTAGE,82.2,91
PROGRESSIVE_PASSES,5.18,90
PROGRESSIVE CARRIES,7.64,79
DRIBBLES_COMPLETED,1.52,43
TOUCHES_IN_AREA,4.22,60
PROGRESSIVE_PASSES_RECIEVED,6.84,57
PRESSURES,21.61,95
TACKLES,2.29,97
INTERCEPTIONS,1.01,77
BLOCKS,1.40,71
CLEARANCES,0.39,35
AERIAL_DUELS_WON,0.65,51
