Giroud,Olivier,Chelsea
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.80,98
NON_PEN_XG,0.55,90
TOTAL_SHOTS,3.45,89
ASSISTS,0.00,4
XA,0.07,22
NON_PEN_XG+XA,0.62,81
SHOT_CREATIONS,1.86,33
PASSES_ATTEMPTED,25.75,62
PASS_COMPLETION_PERCENTAGE,75.6,68
PROGRESSIVE_PASSES,0.80,13
PROGRESSIVE CARRIES,0.44,1
DRIBBLES_COMPLETED,0.35,4
TOUCHES_IN_AREA,5.75,69
PROGRESSIVE_PASSES_RECIEVED,6.37,19
PRESSURES,14.87,60
TACKLES,1.06,83
INTERCEPTIONS,0.35,58
BLOCKS,0.35,2
CLEARANCES,1.06,87
AERIAL_DUELS_WON,2.74,69
