Christensen,Andreas,Chelsea
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.18,6
ASSISTS,0.00,31
XA,0.02,63
NON_PEN_XG+XA,0.02,8
SHOT_CREATIONS,0.48,46
PASSES_ATTEMPTED,66.94,82
PASS_COMPLETION_PERCENTAGE,92.1,92
PROGRESSIVE_PASSES,2.63,51
PROGRESSIVE CARRIES,3.42,67
DRIBBLES_COMPLETED,0.09,13
TOUCHES_IN_AREA,0.31,5
PROGRESSIVE_PASSES_RECIEVED,0.04,8
PRESSURES,7.01,23
TACKLES,1.05,19
INTERCEPTIONS,1.62,71
BLOCKS,1.58,41
CLEARANCES,4.73,41
AERIAL_DUELS_WON,2.72,59
