Alonso,Marcos,Chelsea
DM,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,93
NON_PEN_XG,0.13,96
TOTAL_SHOTS,1.90,98
ASSISTS,0.00,7
XA,0.09,61
NON_PEN_XG+XA,0.23,86
SHOT_CREATIONS,2.77,91
PASSES_ATTEMPTED,54.92,55
PASS_COMPLETION_PERCENTAGE,82.4,81
PROGRESSIVE_PASSES,4.27,69
PROGRESSIVE CARRIES,5.45,66
DRIBBLES_COMPLETED,0.71,46
TOUCHES_IN_AREA,4.03,97
PROGRESSIVE_PASSES_RECIEVED,4.27,93
PRESSURES,13.43,60
TACKLES,1.19,7
INTERCEPTIONS,0.87,15
BLOCKS,1.98,53
CLEARANCES,3.48,86
AERIAL_DUELS_WON,2.45,95
