Havertz,Kai,Chelsea
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.22,54
NON_PEN_XG,0.37,92
TOTAL_SHOTS,1.88,41
ASSISTS,0.22,63
XA,0.12,21
NON_PEN_XG+XA,0.49,75
SHOT_CREATIONS,2.79,34
PASSES_ATTEMPTED,45.20,76
PASS_COMPLETION_PERCENTAGE,85.4,97
PROGRESSIVE_PASSES,2.72,37
PROGRESSIVE CARRIES,5.65,46
DRIBBLES_COMPLETED,1.59,47
TOUCHES_IN_AREA,5.00,73
PROGRESSIVE_PASSES_RECIEVED,8.80,89
PRESSURES,14.81,43
TACKLES,1.41,59
INTERCEPTIONS,0.69,40
BLOCKS,1.63,84
CLEARANCES,1.01,86
AERIAL_DUELS_WON,1.88,91
