James,Reece,Chelsea
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,46
NON_PEN_XG,0.05,64
TOTAL_SHOTS,1.25,93
ASSISTS,0.09,53
XA,0.13,78
NON_PEN_XG+XA,0.18,74
SHOT_CREATIONS,2.58,87
PASSES_ATTEMPTED,71.74,91
PASS_COMPLETION_PERCENTAGE,84.1,88
PROGRESSIVE_PASSES,4.01,59
PROGRESSIVE CARRIES,6.38,79
DRIBBLES_COMPLETED,1.42,86
TOUCHES_IN_AREA,1.99,73
PROGRESSIVE_PASSES_RECIEVED,3.77,90
PRESSURES,13.71,65
TACKLES,2.58,80
INTERCEPTIONS,1.54,75
BLOCKS,2.43,82
CLEARANCES,2.35,45
AERIAL_DUELS_WON,1.57,74
