Mendy,Edouard,Chelsea
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.05,72
GOALS_CONCEDED,0.67,99
SAVE_PERCENTAGE,75.9,93
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.25,5
PENALTY_SAVE_PERCENTAGE,33.3,87
CLEAN_SHEET_PERCENTAGE,56.8,99
TOUCHES,33.93,37
LAUNCH_PERCENTAGE,27.0,10
GOAL_KICKS,6.05,19
AVG_GOAL_KICK_DISTANCE,35.4,21
CROSSES_STOPPED_PERCENTAGE,7.7,58
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.57,46
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.1,40
