De Bruyne,Kevin,Manchester City
AM,CM,RM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,97
NON_PEN_XG,0.31,99
TOTAL_SHOTS,3.48,99
ASSISTS,0.51,99
XA,0.44,99
NON_PEN_XG+XA,0.76,99
SHOT_CREATIONS,5.89,99
PASSES_ATTEMPTED,62.73,78
PASS_COMPLETION_PERCENTAGE,75.7,8
PROGRESSIVE_PASSES,7.28,96
PROGRESSIVE CARRIES,9.47,99
DRIBBLES_COMPLETED,1.55,89
TOUCHES_IN_AREA,4.69,99
PROGRESSIVE_PASSES_RECIEVED,7.89,99
PRESSURES,18.87,57
TACKLES,1.62,18
INTERCEPTIONS,0.67,5
BLOCKS,1.27,22
CLEARANCES,0.48,4
AERIAL_DUELS_WON,0.44,9
