Stones,John,Manchester City
CB,RCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,96
NON_PEN_XG,0.08,89
TOTAL_SHOTS,0.53,60
ASSISTS,0.00,31
XA,0.00,16
NON_PEN_XG+XA,0.08,77
SHOT_CREATIONS,0.66,72
PASSES_ATTEMPTED,78.27,94
PASS_COMPLETION_PERCENTAGE,94.6,99
PROGRESSIVE_PASSES,3.20,66
PROGRESSIVE CARRIES,8.47,99
DRIBBLES_COMPLETED,0.36,75
TOUCHES_IN_AREA,0.69,41
PROGRESSIVE_PASSES_RECIEVED,0.26,64
PRESSURES,6.00,10
TACKLES,0.79,4
INTERCEPTIONS,0.96,18
BLOCKS,1.45,28
CLEARANCES,3.53,9
AERIAL_DUELS_WON,1.91,20
