Foden,Phil,Manchester City
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.39,90
NON_PEN_XG,0.31,84
TOTAL_SHOTS,2.62,77
ASSISTS,0.26,77
XA,0.22,73
NON_PEN_XG+XA,0.52,81
SHOT_CREATIONS,3.54,64
PASSES_ATTEMPTED,48.11,83
PASS_COMPLETION_PERCENTAGE,81.9,89
PROGRESSIVE_PASSES,3.05,49
PROGRESSIVE CARRIES,7.67,80
DRIBBLES_COMPLETED,2.10,70
TOUCHES_IN_AREA,7.14,94
PROGRESSIVE_PASSES_RECIEVED,8.39,85
PRESSURES,17.37,70
TACKLES,1.41,58
INTERCEPTIONS,0.88,67
BLOCKS,1.05,33
CLEARANCES,0.62,60
AERIAL_DUELS_WON,0.69,54
