Fernandinho,,Manchester City
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.05,42
TOTAL_SHOTS,0.86,49
ASSISTS,0.11,70
XA,0.07,55
NON_PEN_XG+XA,0.12,43
SHOT_CREATIONS,2.25,70
PASSES_ATTEMPTED,74.07,91
PASS_COMPLETION_PERCENTAGE,87.9,80
PROGRESSIVE_PASSES,7.40,97
PROGRESSIVE CARRIES,9.17,97
DRIBBLES_COMPLETED,0.75,46
TOUCHES_IN_AREA,0.86,40
PROGRESSIVE_PASSES_RECIEVED,0.80,15
PRESSURES,17.65,47
TACKLES,2.52,67
INTERCEPTIONS,1.88,87
BLOCKS,1.34,28
CLEARANCES,2.15,85
AERIAL_DUELS_WON,2.09,87
