Ederson,,Manchester City
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.06,75
GOALS_CONCEDED,0.74,99
SAVE_PERCENTAGE,74.1,85
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.29,42
PENALTY_SAVE_PERCENTAGE,12.5,44
CLEAN_SHEET_PERCENTAGE,52.0,99
TOUCHES,31.32,17
LAUNCH_PERCENTAGE,25.9,7
GOAL_KICKS,4.22,1
AVG_GOAL_KICK_DISTANCE,41.9,37
CROSSES_STOPPED_PERCENTAGE,6.5,39
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.76,73
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,16.2,85
