García,Eric,Manchester City
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.09,96
TOTAL_SHOTS,0.53,61
ASSISTS,0.00,31
XA,0.01,53
NON_PEN_XG+XA,0.12,95
SHOT_CREATIONS,0.66,73
PASSES_ATTEMPTED,90.40,99
PASS_COMPLETION_PERCENTAGE,94.6,99
PROGRESSIVE_PASSES,4.63,93
PROGRESSIVE CARRIES,9.79,99
DRIBBLES_COMPLETED,0.13,25
TOUCHES_IN_AREA,0.66,38
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,10.06,66
TACKLES,1.72,66
INTERCEPTIONS,1.19,38
BLOCKS,0.79,1
CLEARANCES,2.78,1
AERIAL_DUELS_WON,1.32,5
