Agüero,Sergio,Manchester City
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.51,78
NON_PEN_XG,0.32,37
TOTAL_SHOTS,2.28,42
ASSISTS,0.13,52
XA,0.16,72
NON_PEN_XG+XA,0.48,51
SHOT_CREATIONS,2.15,46
PASSES_ATTEMPTED,24.56,54
PASS_COMPLETION_PERCENTAGE,82.5,94
PROGRESSIVE_PASSES,1.52,55
PROGRESSIVE CARRIES,3.04,60
DRIBBLES_COMPLETED,1.14,59
TOUCHES_IN_AREA,7.09,93
PROGRESSIVE_PASSES_RECIEVED,7.97,54
PRESSURES,13.80,46
TACKLES,0.38,19
INTERCEPTIONS,0.51,82
BLOCKS,0.89,68
CLEARANCES,0.13,4
AERIAL_DUELS_WON,0.25,1
